theidolm@ster	True
蒼い鳥	True
エジェント夜を往く	True
おはよう!!朝ご飯	True
太陽のジェラシ	True
9:02pm	True
herewego!!	True
firststage	True
ポジティブ!	True
魔法をかけて!	True
思い出をありがとう	True
gomyway!!	True
mybestfriend	True
まっすぐ	True
relations	True
私はアイドル	True
i	True
神さまのbirthday	True
shinysmile	True
dodai	True
ふるふるフュチャ	True
mysong	True
iwant	True
いっぱいいっぱい	True
オバマスタ	True
colorfuldays	True
キミはメロディ	True
キラメキラリ	True
kosmoscosmos	True
スタトスタ	True
隣に	True
フタリの記憶	True
またね	True
迷走mind	True
目が逢う瞬間	True
id:ol	True
あったかな雪	True
arcadia	True
yes	True
いっしょ	True
itsshow	True
inferno	True
lobm	True
乙女よ大志を抱け!!	True
alright	True
kiss	True
黒い犬	True
ゲンキトリッパ	True
the愛	True
サニ	True
自転車	True
シャララ	True
ショッキングな彼	True
白い犬	False
スキ	True
ストレトラブ!	False
空	True
団結	True
チェリ	True
dream	True
nextlife	True
花	True
バレンタイン	True
フラワガル	True
mythmaker	True
メリ	True
meltedsnow	False
largesizeparty	True
live	True
リゾラ	True
黎明スタライン	True
lost	True
笑って!	True
alive	True
dazzlingworld	True
hello!!	True
プリコグ	True
愛likeハンバガ	True
aliceorguilty	False
きゅんっ!ヴァンパイアガル	True
恋をはじめよう	False
theworldisallone!!	True
smokythrill	True
七彩ボタン	True
honeyheartbeat	True
firststep	True
megare!	True
littlematchgirl	True
神summer!!	True
さよならをありがとう	True
自分rest@rt	True
チアリングレタ	True
change!!!!	True
happychristmas	True
ハニカミ!ファストバイト	True
晴れ色	True
brandnewday!	True
mywish	True
マリオネットの心	True
見つめて	True
moony	True
約束	True
ready!!	True
私たちはずっとでしょう?	True
eden	True
ビジョナリ	True
vaultthatborderline!	True
music	True
虹色ミラクル	True
fateoftheworld	True
m@sterpiece	True
ラムネ色青春	True
らららわんだぁらんど	True
ありがとyesterdays	False
todaywithme	True
maybetomorrow	False
オハヨサンシャイン	True
ハロランチタイム	True
グッナイスタズ	True
1人ぼっちの歌	False
princesssnowwhite	True
chocofondue	False
まほろば	True
switchon	True
ドキッラブアトラクション	True
weddingbell	True
zoneoffortune	False
ヨイドン!!	False
ロイヤルストレトフラッシュ	False
しあわせのレシピ	True
closetfashionlover	True
ねがいひとつ	False
カンゲキハッピエコロジ	True
エピソドラブ	True
月ノ桜	True
天と海の島	True
qa	True
前向きで行こう	True
しっくりとゆっくりと	True
たいせつなひと	True
pururu	True
チャンピオン	True
どっきりハピバ	True
lookthesky	True
アクセルレション	True
あの日のナミダ	True
アルティメットアイズ	True
onlymynote	True
キミチャンネル	True
goodbyes	True
コイココロ	True
細氷	True
静かな夜に願いを	True
ステキハピネス	True
絶険あるいは逃げられぬ恋	True
全力アイドル	True
destiny	True
トリプルangel	True
99nights	True
nostalgia	True
ふたつの月	True
プラソニックラブ!	True
放課後ジャンプ	True
pondebeach	True
私だって女の子	True
アマテラス	True
ザライブ革命でshow!	True
happy!	True
僕たちのresistance	True
miraclenight	True
top!!!!!!!!!!!!!	False
bloomingstar	False
shyshining	False
キミはrelationsmixmedley	False
vertexmeister	True
星彩ステッパ	True
そしてぼくらは旅にでる	True
imsofree!	True
今スタト!	True
wehaveadream	True
wejuststarted	True
おとなのはじまり	True
おもいでのはじまり	True
onsunday	False
風花	True
カテンコル	True
君が選ぶ道	True
君のままで	True
クロスワド	False
コヒ1杯のイマジュ	True
恋するミカタ	False
結晶crystaldust	False
幸	True
ジェミ	True
start!!	True
スマイル体操	True
slapphappy!!!	True
diamond	True
チクタク	True
tear	True
dayofthefuture	True
trialdance	True
何度も言えるよ	True
眠り姫	True
初恋一章片想いの桜	True
初恋二章告白の花火	True
初恋三章幸せの紅葉	True
初恋四章運命のイヴ	True
初恋五章永遠のクリスマス	True
ハッピス	False
はなまる	False
bangbang	False
光	True
ヒミツの珊瑚礁	False
you往my進!	True
loveオダメイド	True
ラブリ	True
団結2010	True
マジで!?	False
待ち受けプリンス	True
インセインゲム	True
紅白応援v	True
smokyfruits	True
飛べない鳥は夜に鳴く	True
bravestar	True
crimsonlovers	True
聖炎の女神	True
lightyearsong	True
funnylogic	True
ブルウスタア	True
虹のデスティネション	True
始めのdontworry	True
lemonade	True
infernosquaring	True
恋するtwistshout	True
咲きませ!!乙女塾	True
